date_est,year,month,day,year_month,yy_mm,yy_mmm,PM
2013-11-15,2013,11,15,201311,2013-11,2013-Nov,Shinzo_Abe
2013-11-16,2013,11,16,201311,2013-11,2013-Nov,Shinzo_Abe
2013-11-17,2013,11,17,201311,2013-11,2013-Nov,Shinzo_Abe
2013-11-18,2013,11,18,201311,2013-11,2013-Nov,Shinzo_Abe
2013-11-19,2013,11,19,201311,2013-11,2013-Nov,Shinzo_Abe
2013-11-20,2013,11,20,201311,2013-11,2013-Nov,Shinzo_Abe
2013-11-21,2013,11,21,201311,2013-11,2013-Nov,Shinzo_Abe
2013-11-22,2013,11,22,201311,2013-11,2013-Nov,Shinzo_Abe
2013-11-23,2013,11,23,201311,2013-11,2013-Nov,Shinzo_Abe
2013-11-24,2013,11,24,201311,2013-11,2013-Nov,Shinzo_Abe
2013-11-25,2013,11,25,201311,2013-11,2013-Nov,Shinzo_Abe
2013-11-26,2013,11,26,201311,2013-11,2013-Nov,Shinzo_Abe
2013-11-27,2013,11,27,201311,2013-11,2013-Nov,Shinzo_Abe
2013-11-28,2013,11,28,201311,2013-11,2013-Nov,Shinzo_Abe
2013-11-29,2013,11,29,201311,2013-11,2013-Nov,Shinzo_Abe
2013-11-30,2013,11,30,201311,2013-11,2013-Nov,Shinzo_Abe
2013-12-01,2013,12,1,201312,2013-12,2013-Dec,Shinzo_Abe
2013-12-02,2013,12,2,201312,2013-12,2013-Dec,Shinzo_Abe
2013-12-03,2013,12,3,201312,2013-12,2013-Dec,Shinzo_Abe
2013-12-04,2013,12,4,201312,2013-12,2013-Dec,Shinzo_Abe
2013-12-05,2013,12,5,201312,2013-12,2013-Dec,Shinzo_Abe
2013-12-06,2013,12,6,201312,2013-12,2013-Dec,Shinzo_Abe
2013-12-07,2013,12,7,201312,2013-12,2013-Dec,Shinzo_Abe
2013-12-08,2013,12,8,201312,2013-12,2013-Dec,Shinzo_Abe
2013-12-09,2013,12,9,201312,2013-12,2013-Dec,Shinzo_Abe
2013-12-10,2013,12,10,201312,2013-12,2013-Dec,Shinzo_Abe
2013-12-11,2013,12,11,201312,2013-12,2013-Dec,Shinzo_Abe
2013-12-12,2013,12,12,201312,2013-12,2013-Dec,Shinzo_Abe
2013-12-13,2013,12,13,201312,2013-12,2013-Dec,Shinzo_Abe
2013-12-14,2013,12,14,201312,2013-12,2013-Dec,Shinzo_Abe
2013-12-15,2013,12,15,201312,2013-12,2013-Dec,Shinzo_Abe
2013-12-16,2013,12,16,201312,2013-12,2013-Dec,Shinzo_Abe
